
SIM_SERIAL_NO        ST ACTIVATIO
896019990095365809   EX 04-NOV-19
896019990095365810   EX 04-NOV-19
896019990095365811   EX 03-NOV-19
896019990095365812   EX 03-NOV-19
896019990095365813   EX 22-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365814   EX 04-NOV-19
896019990095365815   EX 05-NOV-19
896019990095365816   EX 04-NOV-19
896019990095365817   EX 04-NOV-19
896019990095365818   EX 04-NOV-19
896019990095365819   EX 04-NOV-19
896019990095365820   EX 04-NOV-19
896019990095365821   EX 04-NOV-19
896019990095365822   EX 10-NOV-19
896019990095365823   EX 10-NOV-19
896019990095365824   EX 07-NOV-19
896019990095365825   EX 07-NOV-19
896019990095365826   EX 07-NOV-19
896019990095365827   EX 04-NOV-19
896019990095365828   EX 04-NOV-19
896019990095365829   EX 04-NOV-19
896019990095365830   EX 04-NOV-19
896019990095365831   EX 04-NOV-19
896019990095365832   EX 04-NOV-19
896019990095365833   EX 04-NOV-19
896019990095365834   EX 04-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365835   EX 04-NOV-19
896019990095365836   EX 04-NOV-19
896019990095365837   EX 04-NOV-19
896019990095365838   EX 07-NOV-19
896019990095365839   EX 07-NOV-19
896019990095365840   EX 23-NOV-19
896019990095365841   EX 04-NOV-19
896019990095365842   EX 04-NOV-19
896019990095365843   EX 04-NOV-19
896019990095365844   EX 04-NOV-19
896019990095365845   EX 07-NOV-19
896019990095365846   EX 07-NOV-19
896019990095365847   EX          
896019990095365848   EX 05-NOV-19
896019990095365849   EX 05-NOV-19
896019990095365850   EX 26-NOV-19
896019990095365851   EX 26-NOV-19
896019990095365852   EX 04-NOV-19
896019990095365853   EX          
896019990095365854   EX 06-NOV-19
896019990095365855   EX 06-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365856   EX 06-NOV-19
896019990095365857   EX 03-NOV-19
896019990095365858   EX 21-NOV-19
896019990095365859   EX 30-NOV-19
896019990095365860   EX 17-NOV-19
896019990095365861   EX 06-NOV-19
896019990095365862   EX 06-NOV-19
896019990095365863   EX 06-NOV-19
896019990095365864   EX 06-NOV-19
896019990095365865   EX 06-NOV-19
896019990095365866   EX 06-NOV-19
896019990095365867   EX 06-NOV-19
896019990095365868   EX 06-NOV-19
896019990095365869   EX 06-NOV-19
896019990095365870   EX 02-NOV-19
896019990095365871   EX 14-DEC-19
896019990095365872   EX 27-NOV-19
896019990095365873   EX 02-NOV-19
896019990095365874   EX 01-NOV-19
896019990095365875   EX 01-NOV-19
896019990095365876   EX 01-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365877   EX 07-DEC-19
896019990095365878   EX 07-DEC-19
896019990095365879   EX 29-OCT-19
896019990095365880   EX 28-OCT-19
896019990095365881   EX 01-NOV-19
896019990095365882   EX 05-NOV-19
896019990095365883   EX 22-NOV-19
896019990095365884   EX 22-NOV-19
896019990095365885   EX 22-NOV-19
896019990095365886   EX 22-NOV-19
896019990095365887   EX 31-OCT-19
896019990095365888   EX 01-NOV-19
896019990095365889   EX 01-NOV-19
896019990095365890   EX 04-NOV-19
896019990095365891   EX 28-OCT-19
896019990095365892   EX 04-NOV-19
896019990095365893   EX 27-OCT-19
896019990095365894   EX 29-OCT-19
896019990095365895   EX 29-OCT-19
896019990095365896   EX 19-NOV-19
896019990095365897   EX 12-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365898   EX 23-NOV-19
896019990095365899   EX 17-NOV-19
896019990095365900   EX 17-NOV-19
896019990095365901   EX 15-NOV-19
896019990095365902   EX 18-NOV-19
896019990095365903   EX 18-NOV-19
896019990095365904   EX 25-NOV-19
896019990095365905   EX 26-NOV-19
896019990095365906   EX 18-NOV-19
896019990095365907   EX 01-DEC-19
896019990095365908   EX 18-NOV-19
896019990095365909   EX 14-NOV-19
