
SIM_SERIAL_NO        ST ACTIVATIO
896019990095366373   EX 08-NOV-19
896019990095366374   EX 22-OCT-19
896019990095366375   EX 22-OCT-19
896019990095366376   EX 21-OCT-19
896019990095366377   EX 21-OCT-19
896019990095366378   EX 21-OCT-19
896019990095366379   EX 20-OCT-19
896019990095366380   EX 26-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366381   EX 26-OCT-19
896019990095366382   EX 26-OCT-19
896019990095366383   EX 26-OCT-19
896019990095366384   EX 02-NOV-19
896019990095366385   EX 01-NOV-19
896019990095366386   EX 01-NOV-19
896019990095366387   EX 27-OCT-19
896019990095366388   EX 05-NOV-19
896019990095366389   EX 05-NOV-19
896019990095366390   EX 05-NOV-19
896019990095366391   EX 05-NOV-19
896019990095366392   EX 16-NOV-19
896019990095366393   EX 30-NOV-19
896019990095366394   EX 04-NOV-19
896019990095366395   EX 25-OCT-19
896019990095366396   EX 26-NOV-19
896019990095366397   EX 26-NOV-19
896019990095366398   EX 26-NOV-19
896019990095366399   EX 26-NOV-19
896019990095366400   EX 26-NOV-19
896019990095366401   EX 26-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366402   EX 31-OCT-19
896019990095366403   EX 31-OCT-19
896019990095366404   EX 17-OCT-19
896019990095366405   EX 17-OCT-19
896019990095366406   EX 26-NOV-19
896019990095366407   EX 26-NOV-19
896019990095366408   EX 26-NOV-19
896019990095366409   EX 26-NOV-19
896019990095366410   EX          
896019990095366411   EX          
896019990095366412   EX          
896019990095366413   EX          
896019990095366414   EX          
896019990095366415   EX          
896019990095366416   EX          
896019990095366417   EX          
896019990095366418   EX          
896019990095366419   EX          
896019990095366420   EX          
896019990095366421   EX 26-NOV-19
896019990095366422   EX 26-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366423   EX          
896019990095366424   EX 20-OCT-19
896019990095366425   EX 20-OCT-19
896019990095366426   EX 20-OCT-19
896019990095366427   EX 22-OCT-19
896019990095366428   EX 20-OCT-19
896019990095366429   EX 26-OCT-19
896019990095366430   EX 26-OCT-19
896019990095366431   EX 03-NOV-19
896019990095366432   EX 28-OCT-19
896019990095366433   EX 13-OCT-19
896019990095366434   EX 10-NOV-19
896019990095366435   EX 10-NOV-19
896019990095366436   EX 02-NOV-19
896019990095366437   EX 02-NOV-19
896019990095366438   EX 15-NOV-19
896019990095366439   EX 15-NOV-19
896019990095366440   EX          
896019990095366441   EX          
896019990095366442   EX          
896019990095366443   EX          

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366444   EX 29-OCT-19
896019990095366445   EX 12-NOV-19
896019990095366446   EX 31-OCT-19
896019990095366447   EX 18-OCT-19
896019990095366448   EX 18-OCT-19
896019990095366449   EX 11-NOV-19
896019990095366450   EX 10-NOV-19
896019990095366451   EX 24-OCT-19
896019990095366452   EX 24-OCT-19
896019990095366453   EX 24-OCT-19
896019990095366454   EX 24-OCT-19
896019990095366455   EX 25-OCT-19
896019990095366456   EX 12-NOV-19
896019990095366457   EX 25-OCT-19
896019990095366458   EX 12-NOV-19
896019990095366459   EX 12-NOV-19
896019990095366460   EX 12-NOV-19
896019990095366461   EX 12-NOV-19
896019990095366462   EX 12-NOV-19
896019990095366463   EX 30-OCT-19
896019990095366464   EX 04-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366465   EX 04-NOV-19
896019990095366466   EX 04-NOV-19
896019990095366467   EX 01-NOV-19
896019990095366468   EX          
896019990095366469   EX          
896019990095366470   EX 11-NOV-19
896019990095366471   EX 16-NOV-19
896019990095366472   EX 09-NOV-19
896019990095366473   EX 09-NOV-19
896019990095366474   EX 09-NOV-19
896019990095366475   EX 02-NOV-19
896019990095366476   EX 08-NOV-19
896019990095366477   EX 02-NOV-19
896019990095366478   EX 04-NOV-19
896019990095366479   EX 07-NOV-19
896019990095366480   EX 02-NOV-19
896019990095366481   EX 09-NOV-19
896019990095366482   EX 09-NOV-19
896019990095366483   EX 11-NOV-19
896019990095366484   EX 31-OCT-19
896019990095366485   EX 31-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366486   EX 31-OCT-19
896019990095366487   EX 06-NOV-19
896019990095366488   EX 06-NOV-19
896019990095366489   EX 04-NOV-19
896019990095366490   EX 03-NOV-19
896019990095366491   EX 08-NOV-19
896019990095366492   EX 08-NOV-19
896019990095366493   EX 09-NOV-19
896019990095366494   EX 09-NOV-19
896019990095366495   EX 30-OCT-19
896019990095366496   EX 02-NOV-19
896019990095366497   EX 18-NOV-19
896019990095366498   EX 01-NOV-19
896019990095366499   EX          
896019990095366500   EX 03-NOV-19
896019990095366501   EX 10-NOV-19
896019990095366502   EX 10-NOV-19
896019990095366503   EX          
896019990095366504   EX 29-OCT-19
896019990095366505   EX 29-OCT-19
896019990095366506   EX 02-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366507   EX 28-OCT-19
896019990095366508   EX 09-NOV-19
896019990095366509   EX 16-NOV-19
896019990095366510   EX 28-NOV-19
896019990095366511   EX 28-OCT-19
896019990095366512   EX          
896019990095366513   EX 03-NOV-19
896019990095366514   EX 29-OCT-19
896019990095366515   EX 21-NOV-19
896019990095366516   EX 09-NOV-19
896019990095366517   EX 13-NOV-19
896019990095366518   EX 02-DEC-19
896019990095366519   EX 09-NOV-19
896019990095366520   EX 20-NOV-19
896019990095366521   EX          
896019990095366522   EX 13-NOV-19
896019990095366523   EX 09-NOV-19
896019990095366524   EX 09-NOV-19
896019990095366525   EX 05-NOV-19
896019990095366526   EX 03-NOV-19
896019990095366527   EX 09-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366528   EX 24-JAN-20
896019990095366529   EX 06-NOV-19
896019990095366530   EX 24-JAN-20
896019990095366531   EX 05-NOV-19
896019990095366532   EX 05-NOV-19
896019990095366533   EX 16-NOV-19
896019990095366534   EX 07-NOV-19
896019990095366535   EX 20-NOV-19
896019990095366536   EX 06-NOV-19
896019990095366537   EX 03-NOV-19
896019990095366538   EX 16-NOV-19
896019990095366539   EX 13-NOV-19
896019990095366540   EX 13-NOV-19
896019990095366541   EX 13-NOV-19
896019990095366542   EX          
896019990095366543   EX 13-NOV-19
896019990095366544   EX 13-NOV-19
896019990095366545   EX 09-NOV-19
896019990095366546   EX 09-NOV-19
896019990095366547   EX 09-NOV-19
896019990095366548   EX 09-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366549   EX 09-NOV-19
896019990095366550   EX 09-NOV-19
896019990095366551   EX 13-NOV-19
896019990095366552   EX 13-NOV-19
896019990095366553   EX 09-NOV-19
896019990095366554   EX 11-NOV-19
896019990095366555   EX          
896019990095366556   EX 13-NOV-19
896019990095366557   EX 13-NOV-19
896019990095366558   EX 13-NOV-19
896019990095366559   EX 19-NOV-19
896019990095366560   EX 19-JAN-20
896019990095366561   EX 19-JAN-20
896019990095366562   EX 10-NOV-19
896019990095366563   EX 10-NOV-19
896019990095366564   EX 18-NOV-19
896019990095366565   EX 18-NOV-19
896019990095366566   EX 08-NOV-19
896019990095366567   EX 08-NOV-19
896019990095366568   EX 08-NOV-19
896019990095366569   EX 13-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366570   EX 08-NOV-19
896019990095366571   EX 08-NOV-19
896019990095366572   EX 23-NOV-19
896019990095366573   EX 13-NOV-19
896019990095366574   EX 16-NOV-19
896019990095366575   EX 20-OCT-19
896019990095366576   EX 20-OCT-19
896019990095366577   EX 20-OCT-19
896019990095366578   EX 12-DEC-19
896019990095366579   EX 12-DEC-19
896019990095366580   EX 25-OCT-19
896019990095366581   EX 25-OCT-19
896019990095366582   EX 10-NOV-19
896019990095366583   EX 10-NOV-19
896019990095366584   EX          
896019990095366585   EX          
896019990095366586   EX 20-OCT-19
896019990095366587   EX 20-OCT-19
896019990095366588   EX 24-OCT-19
896019990095366589   EX 24-OCT-19
896019990095366590   EX 24-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366591   EX 24-OCT-19
896019990095366592   EX 26-OCT-19
896019990095366593   EX 03-NOV-19
896019990095366594   EX 24-OCT-19
896019990095366595   EX 24-OCT-19
896019990095366596   EX 04-NOV-19
896019990095366597   EX 04-NOV-19
896019990095366598   EX 25-NOV-19
896019990095366599   EX          
896019990095366600   EX 19-OCT-19
896019990095366601   EX 23-OCT-19
896019990095366602   EX 19-OCT-19
896019990095366603   EX 23-OCT-19
896019990095366604   EX 23-OCT-19
896019990095366605   EX 23-OCT-19
896019990095366606   EX 23-OCT-19
896019990095366607   EX 23-OCT-19
896019990095366608   EX 23-OCT-19
896019990095366609   EX 23-OCT-19
896019990095366610   EX 11-NOV-19
896019990095366611   EX 23-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366612   EX 11-NOV-19
896019990095366613   EX 11-NOV-19
896019990095366614   EX 11-NOV-19
896019990095366615   EX 15-NOV-19
896019990095366616   EX 04-NOV-19
896019990095366617   EX 04-NOV-19
896019990095366618   EX 04-NOV-19
896019990095366619   EX          
896019990095366620   EX 27-OCT-19
896019990095366621   EX 26-OCT-19
896019990095366622   EX 26-OCT-19
896019990095366623   EX 26-OCT-19
896019990095366624   EX 05-NOV-19
896019990095366625   EX 28-OCT-19
896019990095366626   EX 18-OCT-19
896019990095366627   EX 18-OCT-19
896019990095366628   EX 20-OCT-19
896019990095366629   EX 23-OCT-19
896019990095366630   EX 03-NOV-19
896019990095366631   EX 03-NOV-19
896019990095366632   EX 19-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366633   EX 26-OCT-19
896019990095366634   EX 17-NOV-19
896019990095366635   EX 24-OCT-19
896019990095366636   EX 22-OCT-19
896019990095366637   EX 22-OCT-19
896019990095366638   EX 02-NOV-19
896019990095366639   EX          
896019990095366640   EX 07-NOV-19
896019990095366641   EX 15-NOV-19
896019990095366642   EX 15-NOV-19
896019990095366643   EX 15-NOV-19
896019990095366644   EX 05-NOV-19
896019990095366645   EX 07-NOV-19
896019990095366646   EX 17-NOV-19
896019990095366647   EX 16-NOV-19
896019990095366648   EX 16-NOV-19
896019990095366649   EX 16-NOV-19
896019990095366650   EX 05-NOV-19
896019990095366651   EX 04-NOV-19
896019990095366652   EX 04-NOV-19
896019990095366653   EX 18-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366654   EX 17-NOV-19
896019990095366655   EX 24-NOV-19
896019990095366656   EX 24-NOV-19
896019990095366657   EX 24-NOV-19
896019990095366658   EX 24-NOV-19
896019990095366659   EX 18-NOV-19
896019990095366660   EX 22-NOV-19
896019990095366661   EX 23-NOV-19
896019990095366662   EX 24-NOV-19
896019990095366663   EX 24-NOV-19
896019990095366664   EX 24-NOV-19
896019990095366665   EX 24-NOV-19
896019990095366666   EX 22-NOV-19
896019990095366667   EX 21-NOV-19
896019990095366668   EX 18-NOV-19
896019990095366669   EX 23-NOV-19
896019990095366670   EX 24-NOV-19
896019990095366671   EX 25-NOV-19
896019990095366672   EX 28-NOV-19
896019990095366673   EX 26-NOV-19
896019990095366674   EX 26-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366675   EX 24-NOV-19
896019990095366676   EX 30-NOV-19
896019990095366677   EX 22-NOV-19
896019990095366678   EX 22-NOV-19
896019990095366679   EX 20-NOV-19
896019990095366680   EX 23-NOV-19
896019990095366681   EX 22-NOV-19
896019990095366682   EX 17-NOV-19
896019990095366683   EX 18-NOV-19
896019990095366684   EX 24-NOV-19
896019990095366685   EX 23-NOV-19
896019990095366686   EX 18-NOV-19
896019990095366687   EX 18-NOV-19
896019990095366688   EX 18-NOV-19
896019990095366689   EX 30-NOV-19
896019990095366690   EX 30-NOV-19
896019990095366691   EX 08-NOV-19
896019990095366692   EX 02-DEC-19
896019990095366693   EX 17-NOV-19
896019990095366694   EX 17-NOV-19
896019990095366695   EX 17-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366696   EX          
896019990095366697   EX          
896019990095366698   EX          
896019990095366699   EX          
896019990095366700   EX          
896019990095366701   EX          
896019990095366702   EX 06-DEC-19
896019990095366703   EX          
896019990095366704   EX 06-DEC-19
896019990095366705   EX 06-DEC-19
896019990095366706   EX 18-NOV-19
896019990095366707   EX 18-NOV-19
896019990095366708   EX 18-NOV-19
896019990095366709   EX 26-JAN-20
896019990095366710   EX 26-JAN-20
896019990095366711   EX 18-NOV-19
896019990095366712   EX 13-DEC-19
896019990095366713   EX 12-JAN-20
896019990095366714   EX 20-JAN-20
896019990095366715   EX 28-JAN-20
896019990095366716   EX 20-JAN-20

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366717   EX 18-NOV-19
896019990095366718   EX 21-JAN-20
896019990095366719   EX 30-NOV-19
896019990095366720   EX 23-JAN-20
896019990095366721   EX 21-NOV-19
896019990095366722   EX 21-NOV-19
896019990095366723   EX 22-NOV-19
896019990095366724   EX 22-NOV-19
896019990095366725   EX 13-DEC-19
896019990095366726   EX 21-JAN-20
896019990095366727   EX 16-DEC-19
896019990095366728   EX 16-DEC-19
896019990095366729   EX 23-NOV-19
896019990095366730   EX 23-NOV-19
896019990095366731   EX 23-NOV-19
896019990095366732   EX 23-NOV-19
896019990095366733   EX 23-NOV-19
896019990095366734   EX 23-NOV-19
896019990095366735   EX 07-DEC-19
896019990095366736   EX 07-DEC-19
896019990095366737   EX 23-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366738   EX 07-DEC-19
896019990095366739   EX 07-DEC-19
896019990095366740   EX 22-NOV-19
896019990095366741   EX 22-NOV-19
896019990095366742   EX 20-NOV-19
896019990095366743   EX 20-NOV-19
896019990095366744   EX 05-DEC-19
896019990095366745   EX 22-NOV-19
896019990095366746   EX 17-NOV-19
896019990095366747   EX 20-NOV-19
896019990095366748   EX 19-NOV-19
896019990095366749   EX 05-DEC-19
896019990095366750   EX 29-NOV-19
896019990095366751   EX 29-NOV-19
896019990095366752   EX 20-NOV-19
896019990095366753   EX 18-NOV-19
896019990095366754   EX 18-NOV-19
896019990095366755   EX 29-NOV-19
896019990095366756   EX 03-DEC-19
896019990095366757   EX 29-NOV-19
896019990095366758   EX 03-DEC-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366759   EX 19-NOV-19
896019990095366760   EX 21-NOV-19
896019990095366761   EX 21-NOV-19
896019990095366762   EX 21-DEC-19
896019990095366763   EX 25-NOV-19
896019990095366764   EX 21-DEC-19
896019990095366765   EX 09-DEC-19
896019990095366766   EX 09-DEC-19
896019990095366767   EX 22-JAN-20
896019990095366768   EX          
896019990095366769   EX 22-JAN-20
896019990095366770   EX 22-JAN-20
896019990095366771   EX          
896019990095366772   EX          
896019990095366773   EX          
896019990095366774   EX          
896019990095366775   EX 22-JAN-20
896019990095366776   EX          
896019990095366777   EX 23-JAN-20
896019990095366778   EX          
896019990095366779   EX          

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366780   EX 06-DEC-19
896019990095366781   EX 21-DEC-19
896019990095366782   EX 21-DEC-19
896019990095366783   EX 06-DEC-19
896019990095366784   EX 20-DEC-19
896019990095366785   EX 20-JAN-20
896019990095366786   EX 23-NOV-19
896019990095366787   EX 06-DEC-19
896019990095366788   EX 20-JAN-20
896019990095366789   EX          
896019990095366790   EX          
896019990095366791   EX          
896019990095366792   EX 21-NOV-19
896019990095366793   EX 13-JAN-20
896019990095366794   EX 01-DEC-19
896019990095366795   EX 18-DEC-19
896019990095366796   EX 18-DEC-19
896019990095366797   EX 23-DEC-19
896019990095366798   EX 10-JAN-20
896019990095366799   EX 10-JAN-20
896019990095366800   EX 26-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366801   EX 26-NOV-19
896019990095366802   EX 13-JAN-20
896019990095366803   EX 26-NOV-19
896019990095366804   EX 16-NOV-19
896019990095366805   EX 16-NOV-19
896019990095366806   EX 29-NOV-19
896019990095366807   EX 29-NOV-19
896019990095366808   EX 01-DEC-19
896019990095366809   EX 07-DEC-19
896019990095366810   EX 20-NOV-19
896019990095366811   EX 20-NOV-19
896019990095366812   EX 20-NOV-19
896019990095366813   EX 29-NOV-19
896019990095366814   EX 20-NOV-19
896019990095366815   EX 20-NOV-19
896019990095366816   EX 14-DEC-19
896019990095366817   EX 14-DEC-19
896019990095366818   EX 29-NOV-19
896019990095366819   EX 01-DEC-19
896019990095366820   EX 01-DEC-19
896019990095366821   EX 23-DEC-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366822   EX 21-NOV-19
896019990095366823   EX 19-NOV-19
896019990095366824   EX 03-DEC-19
896019990095366825   EX 20-JAN-20
896019990095366826   EX 20-JAN-20
896019990095366827   EX 20-JAN-20
896019990095366828   EX 23-NOV-19
896019990095366829   EX 18-NOV-19
896019990095366830   EX 18-NOV-19
896019990095366831   EX 18-NOV-19
896019990095366832   EX 18-NOV-19
896019990095366833   EX 18-NOV-19
896019990095366834   EX 18-NOV-19
896019990095366835   EX 18-NOV-19
896019990095366836   EX 18-NOV-19
896019990095366837   EX 20-NOV-19
896019990095366838   EX 18-NOV-19
896019990095366839   EX 18-NOV-19
896019990095366840   EX 22-NOV-19
896019990095366841   EX 20-NOV-19
896019990095366842   EX 20-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366843   EX 06-DEC-19
896019990095366844   EX 25-JAN-20
896019990095366845   EX 29-NOV-19
896019990095366846   EX 23-NOV-19
896019990095366847   EX 08-DEC-19
896019990095366848   EX 21-NOV-19
896019990095366849   EX 23-DEC-19
896019990095366850   EX 25-JAN-20
896019990095366851   EX 25-JAN-20
896019990095366852   EX 30-NOV-19
896019990095366853   EX          
896019990095366854   EX 23-DEC-19
896019990095366855   EX 09-JAN-20
896019990095366856   EX 22-NOV-19
896019990095366857   EX 01-DEC-19
896019990095366858   EX 08-JAN-20
896019990095366859   EX 08-DEC-19
896019990095366860   EX          
896019990095366861   EX 23-NOV-19
896019990095366862   EX 29-NOV-19
896019990095366863   EX 30-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366864   EX 27-NOV-19
896019990095366865   EX 21-JAN-20
896019990095366866   EX 30-NOV-19
896019990095366867   EX 11-DEC-19
896019990095366868   EX 27-NOV-19
896019990095366869   EX 23-DEC-19
896019990095366870   EX 03-DEC-19
896019990095366871   EX 03-DEC-19
896019990095366872   EX 03-DEC-19
896019990095366873   EX 03-DEC-19
896019990095366874   EX 03-DEC-19
896019990095366875   EX 27-JAN-20
896019990095366876   EX 27-JAN-20
896019990095366877   EX 27-NOV-19
896019990095366878   EX 31-JAN-20
896019990095366879   EX 21-DEC-19
896019990095366880   EX 21-DEC-19
896019990095366881   EX 04-DEC-19
896019990095366882   EX 02-DEC-19
896019990095366883   EX 02-DEC-19
896019990095366884   EX 04-DEC-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366885   EX 15-JAN-20
896019990095366886   EX 30-NOV-19
896019990095366887   EX 15-JAN-20
896019990095366888   EX 24-NOV-19
896019990095366889   EX 24-NOV-19
896019990095366890   EX 24-DEC-19
896019990095366891   EX 08-DEC-19
896019990095366892   EX 27-NOV-19
896019990095366893   EX 22-NOV-19
896019990095366894   EX 23-NOV-19
896019990095366895   EX 27-NOV-19
896019990095366896   EX 17-NOV-19
896019990095366897   EX 17-NOV-19
896019990095366898   EX 19-JAN-20
896019990095366899   EX 04-NOV-19
896019990095366900   EX 04-NOV-19
896019990095366901   EX          
896019990095366902   EX 03-NOV-19
896019990095366903   EX 03-NOV-19
896019990095366904   EX 03-NOV-19
896019990095366905   EX 07-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366906   EX 07-NOV-19
896019990095366907   EX 16-NOV-19
896019990095366908   EX 16-NOV-19
896019990095366909   EX 12-NOV-19
896019990095366910   EX 09-NOV-19
896019990095366911   EX 05-NOV-19
896019990095366912   EX 11-NOV-19
896019990095366913   EX 11-NOV-19
896019990095366914   EX 10-NOV-19
896019990095366915   EX 04-NOV-19
896019990095366916   EX 05-NOV-19
896019990095366917   EX 05-NOV-19
896019990095366918   EX 14-NOV-19
896019990095366919   EX          
896019990095366920   EX 05-NOV-19
896019990095366921   EX 13-NOV-19
896019990095366922   EX 13-NOV-19
896019990095366923   EX 16-NOV-19
896019990095366924   EX 16-NOV-19
896019990095366925   EX 10-NOV-19
896019990095366926   EX 09-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366927   EX 09-NOV-19
896019990095366928   EX 09-NOV-19
896019990095366929   EX 09-NOV-19
896019990095366930   EX 09-NOV-19
896019990095366931   EX 03-NOV-19
896019990095366932   EX 06-NOV-19
896019990095366933   EX 06-NOV-19
896019990095366934   EX 06-NOV-19
896019990095366935   EX 09-NOV-19
896019990095366936   EX 09-NOV-19
896019990095366937   EX 09-NOV-19
896019990095366938   EX 04-NOV-19
896019990095366939   EX 02-NOV-19
896019990095366940   EX 06-NOV-19
896019990095366941   EX 05-NOV-19
896019990095366942   EX 05-NOV-19
896019990095366943   EX 12-NOV-19
896019990095366944   EX 12-NOV-19
896019990095366945   EX 12-NOV-19
896019990095366946   EX 12-NOV-19
896019990095366947   EX 12-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366948   EX 16-NOV-19
896019990095366949   EX 02-NOV-19
896019990095366950   EX 15-NOV-19
896019990095366951   EX 08-NOV-19
896019990095366952   EX 04-NOV-19
896019990095366953   EX 05-NOV-19
896019990095366954   EX 05-NOV-19
896019990095366955   EX 03-NOV-19
896019990095366956   EX 03-NOV-19
896019990095366957   EX 04-NOV-19
896019990095366958   EX 04-NOV-19
896019990095366959   EX 05-NOV-19
896019990095366960   EX 05-NOV-19
896019990095366961   EX 05-NOV-19
896019990095366962   EX 01-NOV-19
896019990095366963   EX 06-NOV-19
896019990095366964   EX 01-NOV-19
896019990095366965   EX 01-NOV-19
896019990095366966   EX 08-NOV-19
896019990095366967   EX 29-OCT-19
896019990095366968   EX 29-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366969   EX 10-NOV-19
896019990095366970   EX          
896019990095366971   EX          
896019990095366972   EX 06-NOV-19
896019990095366973   EX 02-NOV-19
896019990095366974   EX 02-NOV-19
896019990095366975   EX 01-NOV-19
896019990095366976   EX 02-NOV-19
896019990095366977   EX 08-NOV-19
896019990095366978   EX 10-NOV-19
896019990095366979   EX 08-NOV-19
896019990095366980   EX 08-NOV-19
896019990095366981   EX 08-NOV-19
896019990095366982   EX 07-NOV-19
896019990095366983   EX 09-NOV-19
896019990095366984   EX 30-OCT-19
896019990095366985   EX 30-OCT-19
896019990095366986   EX 05-NOV-19
896019990095366987   EX          
896019990095366988   EX 27-OCT-19
896019990095366989   EX 01-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366990   EX 01-NOV-19
896019990095366991   EX 04-NOV-19
896019990095366992   EX 27-OCT-19
896019990095366993   EX 27-OCT-19
896019990095366994   EX 30-OCT-19
896019990095366995   EX 30-OCT-19
896019990095366996   EX 31-OCT-19
896019990095366997   EX 30-OCT-19
896019990095366998   EX 31-OCT-19
896019990095366999   EX 01-NOV-19
896019990095367000   EX 01-NOV-19
896019990095367001   EX 01-NOV-19
896019990095367002   EX 01-NOV-19
896019990095367003   EX 01-NOV-19
896019990095367004   EX 09-NOV-19
896019990095367005   EX 02-NOV-19
896019990095367006   EX 04-NOV-19
896019990095367007   EX 04-NOV-19
896019990095367008   EX 04-NOV-19
896019990095367009   EX 31-OCT-19
896019990095367010   EX 31-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367011   EX 02-NOV-19
896019990095367012   EX 02-NOV-19
896019990095367013   EX 02-NOV-19
896019990095367014   EX 02-NOV-19
896019990095367015   EX 02-NOV-19
896019990095367016   EX 10-NOV-19
896019990095367017   EX 03-NOV-19
896019990095367018   EX 06-NOV-19
896019990095367019   EX 06-NOV-19
896019990095367020   EX 03-NOV-19
896019990095367021   EX 03-NOV-19
896019990095367022   EX 03-NOV-19
896019990095367023   EX 07-NOV-19
896019990095367024   EX 18-NOV-19
896019990095367025   EX 08-NOV-19
896019990095367026   EX 11-NOV-19
896019990095367027   EX 11-NOV-19
896019990095367028   EX 07-NOV-19
896019990095367029   EX 07-NOV-19
896019990095367030   EX 07-NOV-19
896019990095367031   EX 07-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367032   EX 07-NOV-19
896019990095367033   EX 02-NOV-19
896019990095367034   EX 07-NOV-19
896019990095367035   EX 08-NOV-19
896019990095367036   EX 05-NOV-19
896019990095367037   EX 15-NOV-19
896019990095367038   EX 15-NOV-19
896019990095367039   EX 16-NOV-19
896019990095367040   EX 08-NOV-19
896019990095367041   EX 12-NOV-19
896019990095367042   EX 02-NOV-19
896019990095367043   EX 02-NOV-19
896019990095367044   EX 02-NOV-19
896019990095367045   EX 02-NOV-19
896019990095367046   EX 02-NOV-19
896019990095367047   EX 02-NOV-19
896019990095367048   EX 02-NOV-19
896019990095367049   EX 01-NOV-19
896019990095367050   EX 08-NOV-19
896019990095367051   EX 04-NOV-19
896019990095367052   EX 02-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367053   EX 02-NOV-19
896019990095367054   EX 07-NOV-19
896019990095367055   EX 04-NOV-19
896019990095367056   EX 04-NOV-19
896019990095367057   EX 15-NOV-19
896019990095367058   EX 18-NOV-19
896019990095367059   EX 18-NOV-19
896019990095367060   EX 31-OCT-19
896019990095367061   EX 06-NOV-19
896019990095367062   EX 06-NOV-19
896019990095367063   EX 10-OCT-19
896019990095367064   EX 02-NOV-19
896019990095367065   EX 10-NOV-19
896019990095367066   EX 07-NOV-19
896019990095367067   EX 07-NOV-19
896019990095367068   EX 07-NOV-19
896019990095367069   EX 01-NOV-19
896019990095367070   EX 01-NOV-19
896019990095367071   EX 01-NOV-19
896019990095367072   EX 07-NOV-19
896019990095367073   EX 05-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367074   EX 05-NOV-19
896019990095367075   EX 05-NOV-19
896019990095367076   EX 05-NOV-19
896019990095367077   EX 05-NOV-19
896019990095367078   EX 05-NOV-19
896019990095367079   EX 14-NOV-19
896019990095367080   EX 14-NOV-19
896019990095367081   EX 14-NOV-19
896019990095367082   EX 14-NOV-19
896019990095367083   EX 31-OCT-19
896019990095367084   EX 31-OCT-19
896019990095367085   EX 31-OCT-19
896019990095367086   EX 31-OCT-19
896019990095367087   EX 06-NOV-19
896019990095367088   EX 06-NOV-19
896019990095367089   EX 29-OCT-19
896019990095367090   EX 29-OCT-19
896019990095367091   EX 04-NOV-19
896019990095367092   EX 04-NOV-19
896019990095367093   EX 05-NOV-19
896019990095367094   EX 03-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367095   EX 05-NOV-19
896019990095367096   EX 05-NOV-19
896019990095367097   EX 05-NOV-19
896019990095367098   EX 05-NOV-19
896019990095367099   EX 31-OCT-19
